날짜,종가,시가,고가,저가,거래량,변동 %
2021- 07- 23,547.25,564.75,569.25,544.5,81.45K,-3.06%
2023- 03- 29,650.5,646.25,655.5,645.75,156.69K,0.50%
2021- 04- 01,559.75,575.0,585.0,556.5,249.75K,-0.80%
2021- 02- 05,548.5,548.5,552.25,545.5,216.45K,-0.27%
2024- 10- 08,420.75,426.0,428.0,419.25,229.66K,-1.23%
2024- 10- 22,416.5,409.0,417.0,408.25,267.22K,1.71%
2023- 05- 23,577.5,570.25,580.75,564.0,133.38K,1.14%
2022- 02- 09,646.75,632.25,647.75,630.5,320.41K,2.29%
2025- 01- 14,474.5,475.5,479.75,473.5,278.02K,-0.42%
2022- 11- 15,666.75,657.0,675.0,651.25,234.10K,1.45%
2022- 03- 09,735.0,756.25,757.25,734.0,0.19K,-2.58%
2024- 11- 06,426.25,418.0,426.75,414.25,283.19K,1.85%
2022- 09- 30,677.5,669.5,696.25,669.25,253.85K,1.19%
2023- 10- 20,495.5,504.0,509.5,495.0,264.54K,-1.88%
2024- 03- 18,436.0,437.0,440.5,434.0,121.82K,-0.17%
2025- 01- 30,490.25,496.25,497.0,490.0,218.11K,-1.36%
2023- 11- 17,485.25,493.25,493.5,485.0,106.98K,-1.62%
2024- 07- 01,407.0,407.5,410.0,401.0,158.70K,-0.12%
2024- 11- 11,430.0,430.0,432.0,426.5,250.21K,-0.23%
2021- 06- 15,667.5,662.75,668.5,646.75,176.45K,1.25%
2021- 08- 27,558.0,553.0,558.75,548.75,107.36K,0.95%
2021- 09- 01,515.5,534.0,535.0,514.25,5.19K,-3.46%
2021- 11- 29,581.0,586.0,588.25,576.5,158.23K,-0.98%
2024- 03- 25,437.75,439.0,441.25,437.0,118.61K,-0.34%
2021- 11- 04,559.25,563.75,569.75,556.5,149.48K,-0.84%
2023- 07- 07,560.5,567.0,571.75,560.0,1.32K,-1.10%
2022- 03- 08,754.5,747.5,759.0,724.0,0.55K,0.70%
2024- 01- 25,451.75,451.5,453.25,447.5,169.29K,-0.11%
2023- 11- 30,482.75,475.25,484.5,475.0,189.36K,1.47%
2022- 07- 06,744.25,746.0,761.0,726.0,2.70K,1.12%
2024- 01- 11,457.75,459.0,461.5,455.75,165.19K,-0.38%
2024- 09- 05,410.75,412.75,413.25,406.75,162.78K,-0.48%
2024- 10- 10,418.5,421.0,424.0,418.0,171.36K,-0.59%
2021- 09- 10,502.75,499.0,505.0,487.75,0.37K,1.36%
2021- 07- 16,556.0,564.0,570.5,553.25,83.02K,-1.46%
2022- 08- 22,633.5,622.75,635.25,618.0,67.38K,1.20%
2025- 01- 24,486.5,487.0,489.5,483.5,208.96K,-0.66%
2023- 11- 13,477.25,463.25,477.75,461.0,249.73K,2.86%
2021- 02- 26,555.5,554.5,556.5,546.25,21.40K,0.14%
2024- 09- 16,410.75,413.0,413.0,408.5,150.82K,5.12%
2023- 05- 26,604.0,590.25,606.75,588.25,178.64K,2.24%
2022- 09- 06,680.75,670.75,682.0,667.5,1.29K,2.00%
2023- 09- 08,468.5,471.25,472.25,467.0,0.23K,-0.48%
2021- 06- 11,684.5,699.5,703.0,673.0,233.95K,-2.07%
2024- 01- 02,463.75,470.5,470.75,462.5,187.19K,-1.59%
2025- 03- 11,456.5,458.0,464.0,458.0,0.08K,-0.49%
2021- 08- 06,555.0,555.0,560.5,548.75,142.76K,-0.13%
2021- 09- 06,524.25,524.25,524.25,524.25,,3.20%
2021- 05- 27,664.5,626.0,664.5,621.25,160.61K,6.41%
2023- 08- 28,478.5,476.25,480.0,472.25,87.58K,1.65%
2023- 02- 22,674.25,679.75,681.0,674.0,125.72K,-0.92%
2021- 03- 08,565.0,565.25,571.25,557.0,2.32K,0.53%
2022- 06- 01,731.25,753.75,756.25,720.5,210.39K,-2.95%
2025- 02- 11,484.0,491.75,497.0,483.25,311.26K,-1.53%
2024- 07- 30,405.0,412.0,412.75,404.0,136.87K,-1.76%
2024- 04- 18,426.75,429.5,431.0,426.25,180.78K,-3.23%
2021- 07- 06,656.0,685.25,685.25,645.5,1.71K,-5.92%
2022- 03- 18,741.75,753.75,755.0,736.5,84.41K,-1.69%
